id,comuna,sexo,edad,P1,P1_other,P2_1,P2_2,P2_3,P2_4,P2_5,P2_6,P3a,P3b,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P4_11,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P6,P7a,P7b,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P9_1,P9_2,P9_3,P9_4,P10,P11a,P11b,P12,P13,P14,P15_1,P15_2,P15_3,P15_4,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P17_7,P17_8,P17_9,eduentre,trabajo,estudio,edujefe,ocujefe,bienes_1,bienes_2,bienes_3,bienes_4,bienes_5,bienes_6,bienes_7,bienes_8,bienes_9,bienes_10,nedad,CUOTA,REGION,regiones,zonas,NSE,TNSE,NSE2,POND
760,Pedro Aguirre Cerda,Hombre,15,Drogadicción,empty,Algo violento,Algo violento,Muy violento,Muy violento,Algo violento,Poco violento,Alcohol y drogas,Infidelidad,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Bastante aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Acuerdo,Ni de acuerdo ni en desacuerdo,Acuerdo,Acuerdo,Acuerdo,Ni de acuerdo ni en desacuerdo,Sí,Teleseries,Programas de reportajes,De acuerdo,No sabe,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí,Por miedo,Por los hijos/as,Denunciarías en carabineros,Un problema privado que debe ser solucionado por la pareja,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Frecuente,Frecuente,Frecuente,Muy frecuente,Nada frecuente,Nada frecuente,Frecuente,Frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Media incompleta,No,Si,Media completa,Oficio menor obrero no calificado jornalero servicio doméstico con contrato,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,13,Santiago,RM,D,Bajo,D+E,1.229894278
761,San Antonio,Hombre,22,Violencia,empty,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Historia de violencia en la familia,Problemas psicológicos,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,Desacuerdo,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Sí,Programas juveniles,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,No,No,No,Frecuente,Muy frecuente,Frecuente,Muy frecuente,Frecuente,Frecuente,Poco frecuente,Frecuente,Sí le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,Universitaria incompleta (1 a 3 años de estudio),No,No,Media completa,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,H 20-24,5,Regiones,Centro,C3,Medio,C3,1.119103215
762,Maipú,Hombre,17,Falta de educación de calidad,empty,No sabe,Algo violento,Muy violento,Muy violento,Algo violento,Algo violento,Infidelidad,Celos,Algo aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Desacuerdo,Sí,Noticias,Teleseries,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por los hijos/as,No sabe,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Nada frecuente,Frecuente,Poco frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Poco frecuente,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Media incompleta,No,Si,Media completa,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,13,Santiago,RM,C3,Medio,C3,0.786103727
763,Quillota,Mujer,18,Drogadicción,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Celos,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,No,Teleseries,Programas de farándula,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Denunciarías en carabineros,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,No,Sí,No,Muy frecuente,Muy frecuente,Frecuente,Muy frecuente,Frecuente,Poco frecuente,Muy frecuente,Frecuente,Sí le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Media completa,No,Si,Media completa,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,M 15-19,5,Regiones,Centro,C3,Medio,C3,0.658561306
764,Valdivia,Mujer,17,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Celos,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Bastante aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,Desacuerdo,Desacuerdo,Acuerdo,Acuerdo,Desacuerdo,No,Teleseries,Programas de reportajes,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí,Por miedo,Por los hijos/as,Denunciarías en carabineros,Un problema privado que debe ser solucionado por la pareja,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Media incompleta,No,Si,Media completa,Trabajo menores ocasionales e informales,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,M 15-19,14,Regiones,Sur,D,Bajo,D+E,0.868822714
765,Estación Central,Hombre,19,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Problemas económicos,Problemas psicológicos,Algo aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,No,Programas juveniles,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por los hijos/as,Por el lazo emocional con la persona agresora,Denunciarías en carabineros,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Nada frecuente,Frecuente,Poco frecuente,Muy frecuente,Muy frecuente,Muy frecuente,Muy frecuente,Frecuente,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Universitaria incompleta (1 a 3 años de estudio),No,Si,Media incompleta,Oficio menor obrero no calificado jornalero servicio doméstico con contrato,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,13,Santiago,RM,D,Bajo,D+E,1.229894278
766,San Fernando,Mujer,20,Drogadicción,empty,Muy violento,Muy violento,Muy violento,Muy violento,Poco violento,Poco violento,Alcohol y drogas,Celos,Nada aceptable,Algo aceptable,Bastante aceptable,Bastante aceptable,Algo aceptable,Algo aceptable,Bastante aceptable,Algo aceptable,Bastante aceptable,Algo aceptable,Nada aceptable,Acuerdo,Acuerdo,Desacuerdo,Desacuerdo,Acuerdo,Desacuerdo,Sí,Ninguno,No sabe,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por vergüenza,Buscarías apoyo psicológico o de expertos en el tema,Un problema privado que debe ser solucionado por la pareja,Sí conoce,No,No,Sí,Sí,Poco frecuente,Frecuente,Frecuente,Frecuente,Poco frecuente,Poco frecuente,Frecuente,Frecuente,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,Básica incompleta,Si,Si,Media completa,Oficio menor obrero no calificado jornalero servicio doméstico con contrato,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,M 20-24,6,Regiones,Centro,D,Bajo,D+E,2.299813639
767,Puente Alto,Mujer,22,Drogadicción,empty,Muy violento,Algo violento,Muy violento,Muy violento,Algo violento,Algo violento,Celos,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Acuerdo,Acuerdo,Desacuerdo,No,Teleseries,Programas de reportajes,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por los hijos/as,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,No responde,Un problema privado que debe ser solucionado por la pareja,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Frecuente,Poco frecuente,Frecuente,Frecuente,Poco frecuente,Nada frecuente,Poco frecuente,Frecuente,Sí le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,No le ha pasado,Universitaria incompleta (1 a 3 años de estudio),No,Si,Basica completa,Oficio menor obrero no calificado jornalero servicio doméstico con contrato,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,M 20-24,13,Santiago,RM,D,Bajo,D+E,1.103664584
768,Maipú,Mujer,23,Drogadicción,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Alcohol y drogas,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Acuerdo,Ni de acuerdo ni en desacuerdo,No sabe,No sabe,Acuerdo,Acuerdo,Sí,Teleseries,Programas de farándula,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por los hijos/as,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,Sí,Sí,Sí,Frecuente,Frecuente,No sabe,Frecuente,Frecuente,Poco frecuente,Poco frecuente,No sabe,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Media completa,Si,Si,Media completa,Obrero calificado capataz junior microempresario,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,M 20-24,13,Santiago,RM,C3,Medio,C3,0.705422293
769,La Granja,Mujer,17,Drogadicción,empty,Algo violento,Muy violento,Muy violento,Muy violento,Poco violento,Poco violento,Celos,Problemas psicológicos,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,No,Ninguno,No sabe,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por los hijos/as,Denunciarías en carabineros,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Frecuente,Frecuente,Poco frecuente,Frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Media completa,No,Si,Media completa,Oficio menor obrero no calificado jornalero servicio doméstico con contrato,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,M 15-19,13,Santiago,RM,D,Bajo,D+E,1.100881022
770,La Florida,Hombre,20,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Alcohol y drogas,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Bastante aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Acuerdo,Acuerdo,No,Teleseries,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Irías a alguna organización de ayuda (iglesia ONG Municipio),Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Nada frecuente,Nada frecuente,Poco frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Universitaria incompleta (1 a 3 años de estudio),No,Si,Universitaria completa,Ejecutivo medio (sub / gerente) gerente general empresa media o pequeña profesional carrera tradicional,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,H 20-24,13,Santiago,RM,ABC1,Alto,ABC1,1.169301143
771,Coyhaique,Hombre,23,Falta de trabajo,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Alcohol y drogas,Historia de violencia en la familia,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Bastante aceptable,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Sí,Teleseries,Programas de farándula,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías apoyo psicológico o de expertos en el tema,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,Sí,Sí,Sí,Poco frecuente,Muy frecuente,Muy frecuente,Muy frecuente,Muy frecuente,Muy frecuente,Frecuente,Muy frecuente,Sí le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Básica incompleta,No,Si,Media completa,Oficio menor obrero no calificado jornalero servicio doméstico con contrato,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,H 20-24,11,Regiones,Sur,D,Bajo,D+E,0.442943944
772,Valparaíso,Mujer,17,Violencia,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Alcohol y drogas,Problemas psicológicos,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,Desacuerdo,Acuerdo,Acuerdo,Acuerdo,Desacuerdo,No,Teleseries,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por dependencia económica,Buscarías ayuda con gente de confianza,Un problema privado que debe ser solucionado por la pareja,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Muy frecuente,Poco frecuente,Frecuente,Poco frecuente,Frecuente,Muy frecuente,Muy frecuente,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Media incompleta,No,Si,Media completa,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,M 15-19,5,Regiones,Centro,C3,Medio,C3,0.658561306
773,Quillota,Mujer,19,Violencia,empty,Algo violento,Muy violento,Muy violento,Muy violento,Algo violento,Muy violento,Historia de violencia en la familia,Problemas psicológicos,Algo aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Ni de acuerdo ni en desacuerdo,Desacuerdo,No,Programas de farándula,No sabe,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por los hijos/as,Por dependencia económica,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Frecuente,Muy frecuente,Poco frecuente,Frecuente,Frecuente,Frecuente,Poco frecuente,Frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,No le ha pasado,Universitaria incompleta (1 a 3 años de estudio),Si,Si,Tecnica superior incompleta,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,M 15-19,5,Regiones,Centro,C3,Medio,C3,0.658561306
774,Concepción,Hombre,18,Violencia,empty,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Historia de violencia en la familia,Problemas psicológicos,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,Desacuerdo,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Sí,Programas juveniles,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,No,No,No,Frecuente,Muy frecuente,Frecuente,Muy frecuente,Frecuente,Frecuente,Poco frecuente,Frecuente,Sí le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,Universitaria incompleta (1 a 3 años de estudio),No,No,Media completa,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,8,Regiones,Sur,C3,Medio,C3,2.188069782
775,Copiapó,Hombre,26,Violencia,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Celos,El machismo de la sociedad chilena,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Bastante aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,Ni de acuerdo ni en desacuerdo,No sabe,Acuerdo,Acuerdo,Ni de acuerdo ni en desacuerdo,Sí,Noticias,No sabe,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por el lazo emocional con la persona agresora,Por dependencia económica,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Muy frecuente,Frecuente,Frecuente,Muy frecuente,Frecuente,Poco frecuente,Frecuente,Muy frecuente,Sí le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Universitaria completa,Si,Si,Universitaria completa,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25-29,H 25-29,3,Regiones,Norte,C2,Alto,C2,0.795547371
776,Hualpén,Mujer,18,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Celos,El machismo de la sociedad chilena,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Acuerdo,Desacuerdo,Acuerdo,Acuerdo,Acuerdo,No sabe,Teleseries,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,No,Sí,Sí,Frecuente,Muy frecuente,Muy frecuente,Frecuente,Muy frecuente,Muy frecuente,Frecuente,Muy frecuente,Sí le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Media completa,No,No,Media completa,Ejecutivo medio (sub / gerente) gerente general empresa media o pequeña profesional carrera tradicional,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,M 15-19,8,Regiones,Sur,C2,Alto,C2,1.405003779
777,Pudahuel,Mujer,18,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Infidelidad,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Sí,Programas juveniles,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Frecuente,Poco frecuente,Frecuente,Poco frecuente,Poco frecuente,Frecuente,Muy frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Media completa,No,No,Universitaria completa,Ejecutivo medio (sub / gerente) gerente general empresa media o pequeña profesional carrera tradicional,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,M 15-19,13,Santiago,RM,ABC1,Alto,ABC1,0.688101399
